run_label,frame,frame_z_map,datasets,random_mode,prior_config,dataset_sigma_mag,survey_sigma_mag,model,N,k_base,k_random,dof_base,dof_nominal,H0,beta,H0_minus_67p5,beta_minus_0p5,raw_chi2_no_offsets,data_chi2_map,prior_chi2,posterior_objective,logdet_random_effect,marginal_score,chi2_dof_base,chi2_dof_nominal,AIC_random_marginal_base,BIC_random_marginal_base,success,method,random_effect_note
joint_des_pantheon_union31_HD_none_none_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,none,0.0,0.0,FR_BETA05_H0fixed675,3422,0,0,3422,3422,67.5,0.5,0.0,0.0,4227.901691317376,4227.901691317376,0.0,4227.901691317376,0.0,4227.901691317376,1.235506046556802,1.235506046556802,4227.901691317376,4227.901691317376,True,fixed,no calibration offsets
joint_des_pantheon_union31_HD_none_none_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,none,0.0,0.0,FR_BETAfree_H0fixed675,3422,1,0,3421,3421,67.5,0.4665320888181414,0.0,-0.0334679111818586,4109.86590871017,4109.86590871017,0.0,4109.86590871017,0.0,4109.86590871017,1.2013639019906956,1.2013639019906956,4111.86590871017,4118.003889164622,True,minimize_beta,no calibration offsets
joint_des_pantheon_union31_HD_none_none_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,none,0.0,0.0,FR_BETA05_H0free,3422,1,0,3421,3421,69.1430916395926,0.5,1.6430916395925976,0.0,3746.8570048411916,3746.8570048411916,0.0,3746.8570048411916,0.0,3746.8570048411916,1.0952519745224178,1.0952519745224178,3748.8570048411916,3754.994985295644,True,minimize_H0,no calibration offsets
joint_des_pantheon_union31_HD_none_none_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,none,0.0,0.0,FR_BETAfree_H0free,3422,2,0,3420,3420,71.78558442269265,0.624349386078951,4.285584422692651,0.12434938607895096,3422.5711557255863,3422.5711557255863,0.0,3422.5711557255863,0.0,3422.5711557255863,1.0007517999197622,1.0007517999197622,3426.5711557255863,3438.8471166344907,True,L-BFGS-B,no calibration offsets
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,0.02,0.0,FR_BETA05_H0fixed675,3422,0,3,3422,3419,67.5,0.5,0.0,0.0,4227.901691317376,3151.4265838174942,35.858438280867034,3187.2850220983614,9.545743914619994,3196.8307660129813,0.920931205089858,0.921739275758261,3196.8307660129813,3196.8307660129813,True,fixed,"3 Gaussian calibration offsets; dataset sigma=0.02 mag, survey sigma=0.01 mag"
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,0.02,0.0,FR_BETAfree_H0fixed675,3422,1,3,3421,3418,67.5,0.5234028904439534,0.0,0.023402890443953384,4446.561110843781,3134.622414419428,43.982035079693354,3178.6044494991215,9.545743914619994,3188.1501934137414,0.9162883409586168,0.9170925729723312,3190.1501934137414,3196.2881738681936,True,minimize_beta,"3 Gaussian calibration offsets; dataset sigma=0.02 mag, survey sigma=0.01 mag"
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,0.02,0.0,FR_BETA05_H0free,3422,1,3,3421,3418,68.87126837564097,0.5,1.371268375640966,0.0,3759.760915452087,3151.0818031466406,22.504019638128046,3173.5858227847684,9.545743914619994,3183.1315666993883,0.9210996209139551,0.9219080758182097,3185.1315666993883,3191.2695471538404,True,minimize_H0,"3 Gaussian calibration offsets; dataset sigma=0.02 mag, survey sigma=0.01 mag"
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,0.02,0.0,FR_BETAfree_H0free,3422,2,3,3420,3417,69.91061495922045,0.5475596751568829,2.410614959220453,0.047559675156882864,3553.0303786408476,3129.857920368075,16.04495390820926,3145.9028742762844,9.545743914619994,3155.448618190904,0.9151631346105483,0.915966614096598,3159.448618190904,3171.7245790998086,True,L-BFGS-B,"3 Gaussian calibration offsets; dataset sigma=0.02 mag, survey sigma=0.01 mag"
joint_des_pantheon_union31_HD_dataset_budget_016mmag_ds032_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_016mmag_ds032,0.032,0.0,FR_BETA05_H0fixed675,3422,0,3,3422,3419,67.5,0.5,0.0,0.0,4227.901691317376,3150.3494595880993,14.61516234799481,3164.9646219360943,12.287411178360585,3177.252033114455,0.9206164405575977,0.9214242350360045,3177.252033114455,3177.252033114455,True,fixed,"3 Gaussian calibration offsets; dataset sigma=0.032 mag, survey sigma=0.016 mag"
joint_des_pantheon_union31_HD_dataset_budget_016mmag_ds032_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_016mmag_ds032,0.032,0.0,FR_BETAfree_H0fixed675,3422,1,3,3421,3418,67.5,0.5334371734501575,0.0,0.03343717345015751,4573.443640548478,3130.044953340307,19.83826786236511,3149.8832212026723,12.287411178360585,3162.170632381033,0.9149502932886019,0.9157533508894988,3164.170632381033,3170.3086128354853,True,minimize_beta,"3 Gaussian calibration offsets; dataset sigma=0.032 mag, survey sigma=0.016 mag"
